X,Y,ELEVATION
361423.34,2420973.911,57.691
361423.34,2420968.911,56.023
361423.34,2420963.911,52.458
361423.34,2420958.911,48.154
361423.34,2420953.911,46.578
361423.34,2420948.911,45.331
361423.34,2420943.911,43.598
361423.34,2420938.911,42.181
361423.34,2420933.911,42.137
361423.34,2420928.911,42.079
361423.34,2420923.911,38.478
361423.34,2420918.911,37.474
361428.34,2421293.911,41.501
361428.34,2421288.911,41.523
361428.34,2421283.911,41.789
361428.34,2421278.911,42.453
361428.34,2421273.911,43.188
361428.34,2421268.911,44.38
361428.34,2421263.911,46.586
361428.34,2421258.911,49.051
361428.34,2421253.911,52.256
361428.34,2421248.911,54.22
361428.34,2421243.911,53.876
361428.34,2421238.911,53.572
361428.34,2421233.911,52.807
361428.34,2421228.911,52.785
361428.34,2421223.911,52.693
361428.34,2421218.911,52.341
361428.34,2421213.911,53.353
361428.34,2421208.911,55.477
361428.34,2421203.911,55.193
361428.34,2421198.911,54.375
361428.34,2421193.911,54.614
361428.34,2421188.911,54.685
361428.34,2421183.911,54.784
361428.34,2421178.911,55.345
361428.34,2421173.911,56.158
361428.34,2421168.911,58.473
361428.34,2421163.911,61.583
361428.34,2421158.911,65.369
361428.34,2421153.911,67.802
361428.34,2421148.911,70.285
361428.34,2421143.911,72.649
361428.34,2421138.911,74.407
361428.34,2421133.911,75.322
361428.34,2421128.911,76.099
361428.34,2421123.911,78.45
361428.34,2421118.911,80.516
361428.34,2421113.911,82.513
361428.34,2421108.911,84.342
361428.34,2421103.911,86.04
361428.34,2421098.911,86.56
361428.34,2421093.911,86.129
361428.34,2421088.911,86.758
361428.34,2421083.911,88.202
361428.34,2421078.911,88.905
361428.34,2421073.911,91.134
361428.34,2421068.911,92.15
361428.34,2421063.911,93.206
361428.34,2421058.911,93.952
361428.34,2421053.911,93.934
361428.34,2421048.911,93.479
361428.34,2421043.911,93.523
361428.34,2421038.911,92.466
361428.34,2421033.911,90.644
361428.34,2421028.911,88.694
361428.34,2421023.911,86.632
361428.34,2421018.911,84.483
361428.34,2421013.911,81.558
361428.34,2421008.911,78.926
361428.34,2421003.911,75.878
361428.34,2420998.911,73.163
361428.34,2420993.911,69.999
361428.34,2420988.911,67.191
361428.34,2420983.911,64.577
361428.34,2420978.911,60.454
361428.34,2420973.911,57.849
361428.34,2420968.911,55.518
361428.34,2420963.911,52.675
361428.34,2420958.911,49.466
361428.34,2420953.911,46.763
361428.34,2420948.911,45.139
361428.34,2420943.911,42.715
361428.34,2420938.911,42.176
361428.34,2420933.911,41.861
361428.34,2420928.911,41.824
361428.34,2420923.911,38.082
361428.34,2420918.911,36.477
361433.34,2421293.911,41.376
361433.34,2421288.911,41.352
361433.34,2421283.911,41.587
361433.34,2421278.911,42.034
361433.34,2421273.911,43.218
361433.34,2421268.911,43.36
361433.34,2421263.911,46.017
361433.34,2421258.911,48.898
361433.34,2421253.911,52.068
361433.34,2421248.911,53.634
361433.34,2421243.911,53.533
361433.34,2421238.911,53.517
361433.34,2421233.911,52.955
361433.34,2421228.911,52.682
361433.34,2421223.911,52.869
361433.34,2421218.911,52.417
361433.34,2421213.911,52.592
361433.34,2421208.911,54.838
361433.34,2421203.911,54.298
361433.34,2421198.911,53.978
361433.34,2421193.911,53.891
361433.34,2421188.911,54.089
361433.34,2421183.911,54.57
361433.34,2421178.911,55.047
361433.34,2421173.911,56.03
361433.34,2421168.911,58.385
361433.34,2421163.911,62.557
361433.34,2421158.911,66.061
361433.34,2421153.911,68.521
361433.34,2421148.911,70.946
361433.34,2421143.911,73.744
361433.34,2421138.911,75.036
361433.34,2421133.911,75.638
361433.34,2421128.911,76.354
361433.34,2421123.911,78.272
361433.34,2421118.911,80.396
361433.34,2421113.911,82.103
361433.34,2421108.911,84.115
361433.34,2421103.911,85.849
361433.34,2421098.911,86.646
361433.34,2421093.911,86.457
361433.34,2421088.911,87.121
361433.34,2421083.911,88.658
361433.34,2421078.911,89.348
361433.34,2421073.911,91.368
361433.34,2421068.911,92.465
361433.34,2421063.911,94.039
361433.34,2421058.911,94.373
361433.34,2421053.911,94.172
361433.34,2421048.911,94.123
361433.34,2421043.911,93.56
361433.34,2421038.911,92.812
361433.34,2421033.911,91.238
361433.34,2421028.911,89.318
361433.34,2421023.911,87.382
361433.34,2421018.911,85.049
361433.34,2421013.911,82.479
361433.34,2421008.911,79.616
361433.34,2421003.911,76.982
361433.34,2420998.911,74.74
361433.34,2420993.911,71.674
361433.34,2420988.911,68.851
361433.34,2420983.911,65.354
361433.34,2420978.911,61.432
361433.34,2420973.911,57.724
361433.34,2420968.911,54.906
361433.34,2420963.911,54.011
361433.34,2420958.911,50.006
361433.34,2420953.911,46.563
361433.34,2420948.911,44.827
361433.34,2420943.911,42.63
361433.34,2420938.911,42.008
361433.34,2420933.911,41.746
361433.34,2420928.911,41.612
361433.34,2420923.911,37.711
361433.34,2420918.911,36.198
361438.34,2421293.911,41.26
361438.34,2421288.911,41.212
361438.34,2421283.911,41.424
361438.34,2421278.911,41.821
361438.34,2421273.911,43.257
361438.34,2421268.911,43.256
361438.34,2421263.911,45.315
361438.34,2421258.911,47.704
361438.34,2421253.911,50.836
361438.34,2421248.911,53.762
361438.34,2421243.911,53.334
361438.34,2421238.911,53.707
361438.34,2421233.911,53.181
361438.34,2421228.911,52.324
361438.34,2421223.911,52.285
361438.34,2421218.911,52.269
361438.34,2421213.911,52.961
361438.34,2421208.911,54.228
361438.34,2421203.911,54.004
361438.34,2421198.911,53.51
361438.34,2421193.911,53.338
361438.34,2421188.911,53.73
361438.34,2421183.911,54.241
361438.34,2421178.911,54.923
361438.34,2421173.911,55.934
361438.34,2421168.911,58.036
361438.34,2421163.911,64.688
361438.34,2421158.911,66.98
361438.34,2421153.911,69.55
361438.34,2421148.911,72.063
361438.34,2421143.911,74.607
361438.34,2421138.911,75.264
361438.34,2421133.911,75.896
361438.34,2421128.911,76.882
361438.34,2421123.911,77.659
361438.34,2421118.911,79.592
361438.34,2421113.911,81.294
361438.34,2421108.911,83.157
361438.34,2421103.911,85.05
361438.34,2421098.911,86.382
361438.34,2421093.911,86.73
361438.34,2421088.911,87.333
361438.34,2421083.911,87.977
361438.34,2421078.911,90.276
361438.34,2421073.911,91.476
361438.34,2421068.911,92.475
361438.34,2421063.911,93.981
361438.34,2421058.911,95.061
361438.34,2421053.911,94.991
361438.34,2421048.911,94.88
361438.34,2421043.911,94.326
361438.34,2421038.911,93.56
361438.34,2421033.911,91.872
361438.34,2421028.911,89.687
361438.34,2421023.911,87.576
361438.34,2421018.911,85.469
361438.34,2421013.911,82.936
361438.34,2421008.911,80.423
361438.34,2421003.911,77.531
361438.34,2420998.911,74.784
361438.34,2420993.911,72.045
361438.34,2420988.911,69.051
361438.34,2420983.911,65.833
361438.34,2420978.911,60.79
361438.34,2420973.911,56.111
361438.34,2420968.911,54.539
361438.34,2420963.911,53.84
361438.34,2420958.911,49.545
361438.34,2420953.911,46.122
361438.34,2420948.911,44.645
361438.34,2420943.911,42.246
361438.34,2420938.911,42.097
361438.34,2420933.911,41.658
361438.34,2420928.911,41.438
361438.34,2420923.911,35.854
361438.34,2420918.911,35.766
361443.34,2421293.911,41.231
361443.34,2421288.911,41.27
361443.34,2421283.911,41.419
361443.34,2421278.911,41.735
361443.34,2421273.911,42.768
361443.34,2421268.911,43.253
361443.34,2421263.911,44.799
361443.34,2421258.911,46.864
361443.34,2421253.911,49.439
361443.34,2421248.911,52.308
361443.34,2421243.911,54.116
361443.34,2421238.911,53.543
361443.34,2421233.911,53.145
361443.34,2421228.911,52.271
361443.34,2421223.911,51.771
361443.34,2421218.911,52.188
361443.34,2421213.911,53.419
361443.34,2421208.911,53.715
361443.34,2421203.911,52.523
361443.34,2421198.911,53.057
361443.34,2421193.911,52.992
361443.34,2421188.911,53.936
361443.34,2421183.911,54.256
361443.34,2421178.911,55.039
361443.34,2421173.911,56.229
361443.34,2421168.911,59.188
